en,es
Graph color for user-related CPU activity Graph color for system-related CPU activity Graph color for nice-related CPU activity Graph color for iowait related CPU activity CPU graph background color Graph color for user-related memory usage Graph color for shared memory Graph color for buffer memory Graph color for cached memory Memory graph background color Graph color for input network activity Graph color for output network activity Graph color for loopback network usage Network graph background color Graph color for user-related swap usage Swap graph background color Graph color for load average Load graph background color Graph color for disk read Graph color for disk write Background color for disk load graph A system load indicator Monitored Resources _Processor _Memory _Network S_wap Space _Load _Harddisk Options System m_onitor width: System m_onitor height: Sys_tem monitor update interval: milliseconds _User S_ystem N_ice I_OWait I_dle Sh_ared _Buffers Cach_ed F_ree _Background _Used _Free Load _Average Harddisk _Read _Write System Monitor Preferences Inbox Monitor Keyboard Indicator Some panel items are no longer available One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,El tipo de texto a mostrar (si el texto está activado).
These items will now be removed from your configuration: You will not receive this message again.,"Un valor 0 significa mostrar la frecuencia de la CPU, 1 mostrar la frecuencia y las unidades y 2 mostrar un porcentaje en vez de la frecuencia."
"Tomboy (ne Stickynotes) Tomboy (transparent upgrade from stickynotes) Sticky Notes Applet Factory Sticky Notes Create, view, and manage sticky notes on the desktop This note is locked.",Preferencias del monitor de frecuencia de la CPU Configuración del monitor CPU _monitorizada: Configuración del visor _Apariencia: Mostrar la frecuencia de la CPU como _frecuencia Mostrar las _unidades de la frecuencia Mostrar la frecuencia de la CPU como _porcentaje Monitor de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU No se pudo abrir el documento de ayuda Esta utilidad muestra el estado actual del escalado de frecuencia de la CPU.
This note is unlocked.,Esta utilidad muestra la frecuencia actual de la CPU Gráfico Texto Gráfico y texto Sin soporte para escalado de frecuencia Escalado de frecuencia de la CPU no soportado No podrá modificar la frecuencia de su máquina.
_New Note _Delete Note...,Su máquina puede estar mal configurada o no tener soporte hardware para el escalado de frecuencia de la CPU.
_Lock Note Sticky Notes Preferences Default Note Properties Choose a font to use for all sticky notes Pick a default sticky note font _Font: Use fo_nt from the system theme Note C_olor: Font Co_lor: Choose a base color to use for all sticky notes Pick a default sticky note color Use co_lor from the system theme Specify the default height (in pixels) of new notes Specify the default width (in pixels) of new notes H_eight: Behavior Force _default color and font on notes Choose if the default style is forced on all notes _Put notes on all workspaces Choose if notes are visible on all workspaces Delete this sticky note?,Monitoriza el escalado de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU (montado) (desmontado) _Reproducir DVD _Reproducir CD _Abrir %s Des_montar %s _Montar %s _Expulsar %s Miniaplicación para montar y desmontar volúmenes de bloques.
This cannot be undone.,Montador de discos Intervalo del tiempo de espera para comprobar el estado de los puntos de montaje Tiempo en segundos entre las actualizaciones del estado Fábrica de la miniaplicación montador de discos Fábrica para la miniaplicación montador de discos Monta dispositivos y discos locales Un pequeño clon de xeyes para el panel de GNOME.
Delete all sticky notes?,Los ojos miran en la dirección del puntero del ratón Directorio en el cual se encuentra situado el tema Fábrica de la miniaplicación Geyes Un conjunto de globos oculares para su panel No se puede lanzar la miniaplicación Geyes.
_Delete All Sticky Note Lock/Unlock note Close note Resize note Sticky Note Properties Properties Choose a font for the note Pick a font for the sticky note Use default fo_nt Choose a color for the note Pick a color for the sticky note Note _Color: Font C_olor: Use default co_lor Specify a title for the note _Title: Default width for new notes Default width for new sticky notes in pixels.,Hubo un error fatal al intentar cargar el tema.
Default height for new notes Default height for new sticky notes in pixels.,Preferencias de Geyes Temas _Seleccione un tema: Copyright © 1999-2005 por S.
Default color for new notes Default color for new sticky notes.,Papadimitriou y otros Una aplicación del panel para monitorizar la meteorología local.
"This should be in html hex specification, for example ""#30FF50"".",_Detalles _Actualizar Informe meteorológico Meteorología de GNOME Previsión meteorológica Ciudad: %s Cielo: %s Temperatura: %s Actualizando…
Default color for font Default font color for new sticky notes.,Detalles Ciudad: Última actualización: Condiciones: Cielo: Temperatura: Sensación térmica: Punto de condensación: Humedad relativa: Viento: Presión atmosférica: Visibilidad: Amanecer: Ocaso: Condiciones actuales Informe del pronóstico Ver los detalles del pronóstico Pronóstico Mapa de radar _Visitar weather.com Visitar weather.com Pulse para entrar en Weather.com Pronóstico no disponible actualmente para este lugar.
"This should be in html hex specification, for example ""#000000"".",Vista de la zona Seleccione una zona de la lista Botón de intervalo de actualización Botón para la actualizar Dirección Introduzca el URL Falló al cargar la base de datos XML de zonas.
Default font for new notes Default font for new sticky notes.,Informe de esto como un fallo.
"This should be a Pango Font Name, for example ""Sans Italic 10"".",Preferencias de meteorología _Actualizar automáticamente cada: Unidad de _temperatura: Kelvin Centígrados Fahrenheit Unidad de velocidad del _viento:meters per second m/skilometers per hour Km/hmiles per hour mphknots nudos Escala Beaufort Unidad de _presión atmosférica:kiloPascals kPahectoPascals hPamillibars mbmillibars of mercury mmHginches of mercury inHgatmospheres atm Unidad de _visibilidad:meters metroskilometers Kmmiles millas Activar el mapa de _radar Usar dirección _personalizada para el mapa de radar Di_recciones: Actualizar minutos Visor General _Seleccione una zona: _Buscar: Buscar _siguiente Zona Actualizar los datos automáticamente Determina si la miniaplicación actualiza automáticamente sus estadísticas meteorológicas o no.
"Sticky notes' workspace stickyness Specifies whether the sticky notes are visible on ALL workspaces on the desktop, or not.",Intervalo de actualización El intervalo en segundos entre las actualizaciones automáticas.
Sticky notes' locked state Specifies whether the sticky notes are locked (non-editable) or not.,Mostrar el mapa de radar Obtener un mapa de radar con cada actualización.
"Date format of note's title By default, sticky notes are given the current date as the title when they are created.",Notificación de batería baja Una aplicación del panel para monitorizar la meteorología local.
This format is used; anything that can be parsed by strftime() is valid.,Fábrica de la miniaplicación GWeather Fábrica para crear la miniaplicación de meteorología.
"Whether to use the default system color If this option is disabled, a custom color can be used as the default color for all sticky notes.",Monitoriza la condiciones meteorológicas actuales y los pronósticos Fábrica de la miniaplicación Geyes Fábrica para crear la miniaplicación de meteorología.
"Whether to use the default system font If this option is disabled, a custom font can be used as the default font for all sticky notes.",Invertir Seguimiento de su dinero invertido.
"Whether to force the default color and font on all notes If this option is enabled, the custom colors and fonts that have been assigned to individual notes will be ignored.",Gráfica financiera Símbolo del _ticker: Auto_refrescar Estilo de la _gráfica: Movimiento promedio: Media de movimiento exponencial: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volúmenes Indicadores: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Opciones Descargando gráfica desde Yahoo!
Whether to ask for confirmation when deleting a note Empty notes are always deleted without confirmation.,Preferencias de inversión Stocks _Grupos Chorros de bolitas de hielo _Acerca de Ay_uda _Preferencias _Refrescar Gráfica financiera - %s Abriendo gráfica Símbolo Cantidad Precio Comisión stock group Actualizarlast price Deskbar (anterior Mini-Commander) Deskbar (actualización transparente de Mini-Commander) Esta miniaplicación de GNOME añade una línea de comandos al panel.
Hi_de Notes _Delete Notes _Lock Notes Show sticky notes Sticky Notes for the GNOME Desktop Environment Trash Go to Trash _Empty Trash _Open Trash No Items in Trash Error while spawning nautilus: %s A GNOME trash bin that lives in your panel.,"Tiene completado de comandos, histórico de comandos, y macros cambiables."
